scene,talk_id,talk_person,dialogue
6,1,Narrator,"Her voice ricochets you back into focus as you blink away the darkness, but the darkness never leaves. Confusion spreads through your mind, hadn’t you just been in a rose garden, a dancefloor, an apartment–"
6,2,Narrator,"You blink one final blink, and then you realize where you are. "
6,3,Narrator,"You’re nowhere, you’re everywhere, you’re at the beginning of time."
6,4,Narrator,"You’re at the end of time, you’ve followed Moira all the way through the years until you reached now. Ad infinitum, except there is an end and you’ve just reached it and without realizing…dragged her here with you too. "
6,5,Narrator,"She gives you a look, a look that means there’s a thousand questions in her mind. But you find that any words to try to explain all of this fall short. "
6,6,Narrator,"You want to tell her you’re sorry, you don’t know why this has happened, you think despite it all she still looks as beautiful as the day you met. "
6,7,Narrator,"There is one thing you manage to croak out, the single most desperate plea you’ve held so deep within your soul you think it’s now just as much a part of you as Moira is. "
6,8,You,“Please tell me you remember me.”
6,9,Narrator,"She looks at you incredulously, opening her mouth to no doubt say What the hell do you mean? Before something within her just clicks. "
6,10,Narrator,"You watch as her eyes widen, watch as the years, decades, millenia zip through her mind. "
6,11,Narrator,Then you hear her say that two word statement you’ve only dreamed of her ever uttering. 
6,12,Moira,“I do.” 
6,13,Narrator,"It’s not the happy revelation you thought it would be, it’s not the triumphant culmination of your expansive lifetimes. Not here, not in this void where time and space lose all meaning. "
6,14,Narrator,"But still Moira embraces you, still you wrap your arms around her in return. "
6,15,Narrator,"You think about what happens next and at first your mind goes to catching up for lost time, to talking about that afternoon in the garden or to the sound of the jazz band or to the millions of shared memories you both now carry in your hearts. "
6,16,Narrator,"You think of spending eternity here, just with her. No more time to warp your perception and steal her away, no more lives of searching and restarting and rebuilding your relationship because she’s here now."
6,17,Moira,“What do we do now?”
6,18,Us,"“...You wanna just, talk?”"
7,0,Narrator,You could tell that something was wrong the moment you two began your conversation. But when Moira looks into your eyes you feel your heart sink. 
7,1,Narrator,"Those vibrant eyes, eyes that had once been full of life that drew you in like a moth to flame were dull, world weary and heavy with the knowledge of countless lifetimes."
7,2,Narrator,They mirror your very own. 
7,3,Narrator,"This…isn’t a life, and you realize that in your eternal chase and constant yearning for her to be like you, you’ve dragged her through time and space without her say. "
7,4,Narrator,"Moira remembers you, that’s all you ever wanted but in turn she remembers everything. That’s not something a human mind is ever able to just handle all at once. "
7,5,Narrator,"You’ve had countless lifetimes to acclimate to it, she’s only had now. Now that is just the void and you, nothing else to do and no things to distract from eternity. "
7,6,Narrator,"Maybe you two could figure out a way to restart, to go through life again except this time do it together. "
7,7,Narrator,"…But is it even fair to keep her in such a cycle? Or is your own selfish desire, your refusal to let this end, is what you want blinding you to what’s best for her?   "
7,8,Narrator,"What was that old saying, If you truly love something, you have to learn to let go? You don’t know everything despite your long existence, but you do know one thing."
7,9,Narrator,You love her more than anything. 
7,10,You,"“I’m sorry, but this isn’t fair to you.”"
7,11,You,“I think…we have to say goodbye.” 
7,12,You,“I think…I have to let you go.”
7,13,Narrator,"Moira blinks, as if expecting something else as she stays quiet, and you let the void fill the nothingness around you until she finally nods. "
7,14,Moira,"“If I leave, does that mean I’ll finally get to rest? No more time stuff, no more feeling like my head’s gonna explode with all these memories?” "
7,15,Narrator,"You’re not really sure what will happen honestly, but you feel it in the void around you. Something tells you that her theory might be right. So you nod. "
7,16,Narrator,"There’s another long beat of silence before she gives you her answer, and it’s an answer that just a lifetime ago would have filled you with unimaginable dread, but now there’s only calm acceptance. "
7,17,Moira,“Okay…okay.”
7,18,Narrator,"She gives you a watery smile, and you try and fail to give one back as she steps away before pausing. "
7,19,Moira,"“You know…for what it’s worth, I had a lot of fun being with you.” "
7,20,Narrator,One moment she’s a million miles away and the next she’s right in front of you; her lips soft as she kisses you one final time.
7,21,Narrator,"You kiss her back, putting every year and lifetime behind it until you feel her consciousness, her being, all of her start to slip away, a whisper echoing through the void. "
7,22,Moira,“I love you.”
7,23,Narrator,"You whisper it back, despite nothing but the emptiness remaining. Leaving you alone, for good. "
7,24,Narrator,"But you can’t stop thinking about her words, about how Moira said she had fun being with you, and you think back on all those lifetimes not with the lens of yearning isolation but…of fun. "
7,25,Narrator,"You were so blinded with the lamentations of her not remembering you that you overlooked the fact that you had lifetimes with her, lifetimes that nobody else ever gets with their loved ones. "
7,26,Narrator,"Lives that you spent finding her, talking to her, falling in love all over with her again and again and again. "
7,27,Narrator,"Isn’t that worth it all? Isn’t that what’s worth holding onto? You let Moira go, but the memories are still there. "
7,28,Narrator,"The memories are still warm in your heart as you realize that letting go of her means you can let go of this constant cycle too, no longer afraid of it ending. "
7,29,Narrator,"You can rest like she did, not because she’s gone now but because you accept that you’ve lived so many lives, you’ve done almost everything but rest. "
7,30,Narrator,Maybe it’s time. It’s time to say goodbye. It’s time for this neverending story to finally end. 
7,31,Narrator,"You smile, and your world goes dark for good."
